PDGFR,PLCg,STAT5,ERK12,Akt,PKC
0.083,0.093,0.086,0.03,0.1,0.021
0.066,0.008,0.027,0.103,0.074,0.105
0.06,0.047,0.078,0.028,0,NaN
0.163,0.204,0.183,0.063,0.172,NaN
0.118,0.107,0.224,0.152,0.09,NaN
0,0,0,0,0,0.019
