Annotation,PDGFL,Y720F,YY731742FF,Wort,U0126,bPDK,bPTEN,bPPX,bPKC
WT[-],1,0,0,0,0,1,1,1,1
WT[W],1,0,0,1,0,1,1,1,1
WT[U],1,0,0,0,1,1,1,1,1
dM[-],1,1,0,0,0,1,1,1,1
dP[-],1,0,1,0,0,1,1,1,1
ND,0,0,0,0,0,1,1,1,1
